spectraltype,redshift,color,temperature,gravity,metallicity
G7V,2.744652E-05,0.656,5377,4.5,-0.35
G8V,0.0002012196,0.692,5285,4.62,-0.71
K1V,-8.703783E-05,0.819,5169,4.43,-0.17
K0V,0.0001661514,0.786,5221,4.5,-0.24
A0,-0.0001837131,0.116,7652,4.287,0.06
G5Vp,-7.039549E-05,0.704,5320,4.49,-0.76
A4p,0.0004359619,0.43,5937,4.37,-2.03
B9,0.0001032944,0.029,8554,4.325,0.1
G5,-4.59065E-05,0.717,5426,4.5,-0.04
G5,-0.0002204245,0.717,5426,4.5,-0.04
G3IV,7.67086E-05,0.828,5126,3.5,-0.59
K0,0.0009015517,1.113,4310,1.21,-1.36
G5,-9.796017E-05,0.732,5281,4.374,-0.12
F7V-VI,-0.0001638644,0.452,5961,4.3,-1.16
G0,5.229155E-05,0.721,5302,4.5,-0.19
G5,5.446377E-05,0.717,5426,4.5,-0.04
K5V,-0.0001621693,1.069,4382,4.64,-0.28
G5,0.0002180969,0.717,5426,4.5,-0.04
G5III,-1.905786E-05,0.709,5073,2.51,-1.44
M2V,-0.0001633988,1.502,3717,4.89,-0.2
G5,8.819163E-05,0.717,5426,4.5,-0.04
G5,-4.904236E-05,0.732,5281,4.374,-0.12
G5,8.458315E-06,0.717,5426,4.5,-0.04
G8IV-V,3.882158E-05,0.701,5563,4.23,-0.02
G5,0.0002056907,0.717,5426,4.5,-0.04
K0V,0.0001631233,0.786,5221,4.5,-0.24
K5V,-5.946096E-05,1.069,4382,4.64,-0.28
G5,7.354855E-05,0.717,5426,4.5,-0.04
G8V,0.0001295669,0.692,5285,4.62,-0.71
G5,0.0001422295,0.717,5426,4.5,-0.04
G5,-3.852131E-05,0.645,5476,4.357,-0.32
G5,-5.799514E-05,0.717,5426,4.5,-0.04
F8,0.0001863988,0.419,6245,4.234,-0.49
G5,-0.0001611119,0.732,5281,4.374,-0.12
A0,0.0005260848,-0.001,9484,3.874,-0.25
G5III,0.0009045175,0.709,5073,2.51,-1.44
G5,-6.394376E-05,0.717,5426,4.5,-0.04
G5,-5.308197E-05,0.717,5426,4.5,-0.04
G0V,0.0001219193,0.536,5621,4.03,-1.02
0,5.629097E-05,0.536,5665,4.28,-0.99
M1V,0.0002394406,1.474,3705,4.8,0.6
G8II-III,0.0001650755,0.895,5063,2.65,0.25
K3V,-0.0001027484,1.038,4528,4.251,0.07
sdG2,0.0005232497,0.621,5405,4.49,-1.7
G5,-5.234305E-05,0.717,5426,4.5,-0.04
G5,4.041256E-05,0.717,5426,4.5,-0.04
G5Vp,0.0002375724,0.704,5320,4.49,-0.76
G0V,0.0001038504,0.572,5661,4.27,-0.37
G0V,0.0002598935,0.564,5651,4.42,-0.32
G5,-0.0001521104,0.717,5426,4.5,-0.04
G5,0.0002264186,0.717,5426,4.5,-0.04
G5Vp,-1.312668E-05,0.704,5320,4.49,-0.76
G5,-0.0001341334,0.717,5426,4.5,-0.04
Fw,-0.0003604855,0.647,4949,1.32,-2.32
Fw,-0.0001459097,0.647,4949,1.32,-2.32
Fw,1.35835E-05,0.647,4949,1.32,-2.32
M1V,-0.0001027704,1.474,3705,4.8,0.6
G5,-0.0001865846,0.717,5426,4.5,-0.04
G5,3.187034E-05,0.717,5426,4.5,-0.04
K0,-0.0001100559,0.773,5261,4.55,-0.03
K5V,-3.703192E-06,1.069,4382,4.64,-0.28
G8V,-3.958453E-05,0.692,5285,4.62,-0.71
K3V,-6.097777E-05,1.038,4528,4.251,0.07
G6V,-0.0002420717,0.603,5474,4.16,-0.67
G8III-IV,1.243066E-05,0.935,4671,2.46,-0.51
G5Vp,0.0002702716,0.704,5320,4.49,-0.76
F8V,-0.0002419751,0.661,5152,2.4,-1.42
K2V,6.816912E-05,0.871,4955,4.47,-0.23
K3III,2.020983E-05,1.299,4395,2.11,-0.01
M2V,0.0003191753,1.502,3717,4.89,-0.2
M1V,0.0005403732,1.474,3705,4.8,0.6
M1V,3.457283E-05,1.474,3705,4.8,0.6
G5Vp,3.874509E-05,0.704,5320,4.49,-0.76
G1V,0.001068786,0.561,5659,4.42,-0.6
K5V,9.598201E-05,0.983,4576,4.414,-0.39
G8IV-V,1.996682E-05,0.701,5563,4.23,-0.02
G8V,7.853532E-05,0.692,5285,4.62,-0.71
G8V,-5.918475E-05,0.692,5285,4.62,-0.71
K1V,0.0004534835,0.811,5059,4.45,-0.16
F8V,-0.0002762124,0.661,5152,2.4,-1.42
G8V,-0.0001265547,0.692,5285,4.62,-0.71
G8V,0.0001955384,0.692,5285,4.62,-0.71
G5,9.804614E-05,0.759,5262,4.5,-0.03
G7V,2.322576E-05,0.656,5377,4.5,-0.35
G3IV,-4.124402E-05,0.828,5126,3.5,-0.59
G8V,-0.0001027675,0.692,5285,4.62,-0.71
G0V,-0.0001178159,0.549,5890,4.41,-0.11
G0,0.0001518341,0.674,5480,4.387,0.03
G5III,0.0006472096,0.709,5073,2.51,-1.44
G5,-1.907415E-05,0.645,5476,4.357,-0.32
0,-0.0001181682,0.51,6040,4.423,-0.11
A0,-0.0001154943,0.116,7652,4.287,0.06
G0V,-0.0001144471,0.557,5762,4.34,-0.42
F8,-0.0003165359,0.53,5873,4.37,-0.45
A0,-1.95395E-05,0.116,7652,4.287,0.06
G0V,-3.355051E-05,0.564,5651,4.42,-0.32
F9V,-0.0002765291,0.497,5830,3.89,-0.85
O9.5Vvar,0.0002157688,0.18,6537,2.497,-2.09
G0V,6.704478E-05,0.572,5661,4.27,-0.37
G0,-5.966132E-05,0.573,5671,4.323,-0.18
K7V,0.0004028281,1.363,3900,4.232,0.17
M1V,0.0003406312,1.474,3705,4.8,0.6
O9.5Vvar,-4.890066E-05,0.18,6537,2.497,-2.09
O9.5Vvar,0.0001186342,0.18,6537,2.497,-2.09
K0V,0.0001031549,0.819,5139,4.79,-0.07
A0,0.0002024669,0.179,8863,3.582,-0.4
A2,0.0001915002,0.207,7518,4.242,-0.3
A2,0.0001121919,0.298,7118,4.045,-0.15
A2,0.0001164337,0.207,7518,4.242,-0.3
A2,0.0001153387,0.207,7518,4.242,-0.3
A2,0.0001128637,0.298,7118,4.045,-0.15
K3V,0.0001179317,1.074,4650,0,0.07
A2,0.0002101202,0.207,7518,4.242,-0.3
A2,0.0001405183,0.298,7118,4.045,-0.15
A2,8.0479E-05,0.207,7518,4.242,-0.3
A2,0.0001336562,0.207,7518,4.242,-0.3
A2,5.843689E-05,0.298,7118,4.045,-0.15
A2,0.0001245889,0.207,7518,4.242,-0.3
A2,0.0001802205,0.207,7518,4.242,-0.3
A2,8.23997E-05,0.207,7518,4.242,-0.3
A2,0.0001806021,0.276,6966,3.972,0.21
A2,-7.224854E-06,0.276,6966,3.972,0.21
A2,0.0001470337,0.207,7518,4.242,-0.3
A3,4.683716E-05,0.235,7439,3.986,-0.26
F0,-5.982148E-06,0.313,7190,3.604,-0.28
0,3.883882E-05,0.825,5190,4.809,-0.05
A2,0.0001424178,0.298,7118,4.045,-0.15
A2,0.0001742895,0.276,6966,3.972,0.21
A2,2.191442E-05,0.207,7518,4.242,-0.3
K0V,-0.000201317,0.864,5294,4.66,0.34
A2,0.000163378,0.298,7118,4.045,-0.15
A2,0.0002450937,0.298,7118,4.045,-0.15
A2,0.0001843291,0.105,7354,3.769,-0.08
A2,2.013303E-05,0.276,6966,3.972,0.21
K5V,-7.734864E-05,1.069,4382,4.64,-0.28
F0,0.0001790814,0.382,6604,3.999,-0.2
K0V,-9.182141E-05,0.819,5139,4.79,-0.07
A2,0.0002634879,0.298,7118,4.045,-0.15
F8V,9.997011E-05,0.499,6155,4.5,-0.15
F8IV,0.0001178519,0.456,6163,4.12,-0.29
G2V,3.440151E-05,0.614,5820,4.26,0.07
F2,8.600338E-05,0.393,6518,3.9,-0.07
G2V,-1.920055E-05,0.614,5820,4.26,0.07
A2,0.0001426025,0.276,6966,3.972,0.21
G8V,-3.993071E-05,0.66,5761,4.5,0.17
A2,0.0001398024,0.207,7518,4.242,-0.3
A2,0.0001358177,0.207,7518,4.242,-0.3
A2,9.791361E-05,0.207,7518,4.242,-0.3
0,1.894666E-07,0.825,5190,4.809,-0.05
A2,2.561834E-05,0.207,7518,4.242,-0.3
A2,8.080151E-05,0.207,7518,4.242,-0.3
A2,0.000133763,0.207,7518,4.242,-0.3
0,0.0001975074,1.474,5260,2.74,-1.05
F2,0.0001192702,0.366,7126,3.924,0.23
F0,1.081232E-05,0.313,7190,3.604,-0.28
K1V,9.829849E-05,0.864,5099,4.53,-0.07
G9V,0.0003679174,0.764,5132,4.34,-0.61
B5,0.0003370335,0.326,6162,4.05,-2.26
F0,7.138581E-05,0.313,7190,3.604,-0.28
F0,7.200465E-05,0.313,7190,3.604,-0.28
M1V,-2.236267E-05,1.474,3705,4.8,0.6
K7V,6.294038E-05,1.363,3900,4.232,0.17
O9.5Vvar,0.0002106151,0.18,6537,2.497,-2.09
G3V,0.0001592697,0.621,5771,4.44,0.15
O9.5Vvar,-8.239626E-07,0.18,6537,2.497,-2.09
O9.5Vvar,0.0001250193,0.18,6537,2.497,-2.09
G0V,0.000156675,0.564,5651,4.42,-0.32
K7V,-0.000327064,1.363,3900,4.232,0.17
M1V,-9.18286E-05,1.474,3705,4.8,0.6
M1V,0.0001929602,1.474,3705,4.8,0.6
O9.5Ib...,-0.0002405186,-0.199,9899,2.924,0.09
O9.5Ib...,-2.35289E-05,-0.199,9899,2.924,0.09
O9.5Ib...,-0.0003583025,-0.199,9899,2.924,0.09
O9.5Ib...,4.397034E-05,-0.199,9899,2.924,0.09
O9.5Ib...,0.0006651478,-0.199,9899,2.924,0.09
O9.5Vvar,0.000280876,0.18,6537,2.497,-2.09
F9V,-3.548175E-05,0.479,5841,4.16,-0.72
G1V,-9.205768E-05,0.6,5630,4.5,-0.45
O9.5Ib...,-5.295987E-05,-0.199,9899,2.924,0.09
O9.5Vvar,0.0001925151,0.18,6537,2.497,-2.09
O9.5Vvar,-0.0002812629,0.18,6537,2.497,-2.09
M1V,0.000310705,1.474,3705,4.8,0.6
O9.5Vvar,0.0006585549,0.18,6537,2.497,-2.09
M1V,0.0001980031,1.474,3705,4.8,0.6
O9.5Vvar,9.427522E-05,0.18,6537,2.497,-2.09
O9.5Vvar,-3.527867E-05,0.18,6537,2.497,-2.09
O9.5Vvar,-0.0001040347,0.18,6537,2.497,-2.09
O9.5Ib...,-0.0002036048,-0.199,9899,2.924,0.09
Fw,-0.0001419007,0.647,4949,1.32,-2.32
M1V,0.000199014,1.474,3705,4.8,0.6
G0V,0.0002363252,0.526,5704,4.36,-0.74
F8,6.530985E-05,0.53,5873,4.37,-0.45
O9.5Vvar,-7.356322E-05,0.18,6537,2.497,-2.09
M1V,0.0003151146,1.474,3705,4.8,0.6
O9.5Vvar,-9.282595E-05,0.18,6537,2.497,-2.09
M1V,0.0004045053,1.474,3705,4.8,0.6
O9.5Vvar,0.0001263008,0.18,6537,2.497,-2.09
M1V,-0.0002477983,1.474,3705,4.8,0.6
G2V,-3.920557E-05,0.539,5373,4.37,-1.08
G0V...,5.651758E-06,0.53,5860,4.4,-0.26
G6V,-3.272836E-05,0.603,5474,4.16,-0.67
M1V,0.0002103913,1.474,3705,4.8,0.6
O9.5Vvar,0.000176421,0.18,6537,2.497,-2.09
O9.5Vvar,0.00018251,0.18,6537,2.497,-2.09
M1V,6.982801E-05,1.474,3705,4.8,0.6
M1V,-0.0002344075,1.474,3705,4.8,0.6
O9.5Ib...,5.571018E-05,-0.199,9899,2.924,0.09
A0,9.235203E-05,0.116,7652,4.287,0.06
