spectraltype,redshift,color,temperature,gravity,metallicity
M1V,0.0005346866,1.474,3705,4.8,0.6
M1V,0.001322977,1.474,3705,4.8,0.6
M1V,0.0004694888,1.474,3705,4.8,0.6
M1V,-0.000271593,1.474,3705,4.8,0.6
M1V,3.089735E-05,1.474,3705,4.8,0.6
M1V,0.0001162369,1.474,3705,4.8,0.6
M1V,0.0003242258,1.474,3705,4.8,0.6
M1V,0.0001457302,1.474,3705,4.8,0.6
A0,-0.0001728978,0.116,7652,4.287,0.06
A0,-0.0001320647,0.116,7652,4.287,0.06
M1V,0.0004947471,1.474,3705,4.8,0.6
G1V,-0.0006746503,0.6,5630,4.5,-0.45
K1V,-0.0001106118,0.811,5059,4.45,-0.16
G8Vp,0.0005728243,0.754,5047,4.59,-1.34
M1V,0.0007088137,1.474,3705,4.8,0.6
F8V,-0.0004734298,0.661,5152,2.4,-1.42
G5,-0.000244013,0.953,4576,1.4,-1.71
K1V,-0.0001491137,0.819,5169,4.43,-0.17
K5V,-3.519979E-05,0.983,4576,4.414,-0.39
K1V,0.000224665,0.811,5059,4.45,-0.16
K0,-4.280936E-05,0.773,5261,4.55,-0.03
F8V,0.0004003212,0.661,5152,2.4,-1.42
F9V,0.0001263502,0.568,5748,4.17,-0.42
F7V,0.0001051757,0.465,5935,4.24,-0.54
G5Vp,-0.0006589756,0.704,5320,4.49,-0.76
K3V,0.0001117222,1.074,4650,0,0.07
K1V,-0.0001152668,0.819,5169,4.43,-0.17
G1V,-0.000244762,0.561,5659,4.42,-0.6
G0V,0.0008953859,0.547,5704,4.05,-0.64
G8Vp,0.0001615052,0.754,5047,4.59,-1.34
G1V,0.0007334829,0.561,5659,4.42,-0.6
K3V,1.197461E-05,0.95,4775,4.409,-0.12
K2V,0.0001313899,0.871,4955,4.47,-0.23
G8V,0.0001001605,0.692,5285,4.62,-0.71
G8V,-7.701332E-05,0.749,5239,4.5,-0.21
G8V,0.0002912598,0.692,5285,4.62,-0.71
G8IV,5.972649E-05,0.722,5501,4.28,0.31
K2V,-2.383126E-05,0.871,4955,4.47,-0.23
K0,-2.024905E-05,0.773,5261,4.55,-0.03
G0,-4.358283E-05,0.674,5480,4.387,0.03
G8IV-V,-0.0001731561,0.701,5563,4.23,-0.02
G8V,0.0001576176,0.692,5285,4.62,-0.71
K7V,0.0003515219,1.363,3900,4.232,0.17
G0V,-0.0001703778,0.549,5890,4.41,-0.11
K1V,2.50535E-06,0.811,5059,4.45,-0.16
G8Vp,-0.0002237358,0.754,5047,4.59,-1.34
F8V-VI,0.0006936332,0.446,5895,4.41,-1.05
G3V,8.705061E-05,0.613,5324,4.47,-0.75
0,8.169618E-05,0.536,5665,4.28,-0.99
K0V,0.0003066227,0.786,5221,4.5,-0.24
G5,-9.765775E-05,0.717,5426,4.5,-0.04
G0,0.0006135278,0.881,4738,1.76,-1.64
O9.5Ib...,7.139459E-05,-0.199,9899,2.924,0.09
O9.5Vvar,-9.232564E-05,0.18,6537,2.497,-2.09
F5,0.0002330156,0.387,6449,4.216,-0.48
F0,-1.047327E-05,0.359,6767,4.083,-0.21
0,-8.906656E-05,0,4752,4.641,-0.91
G0,-2.15226E-05,0.678,4966,2,-2.72
G0,3.621457E-05,0.678,4966,2,-2.72
K7V,-5.314496E-05,1.363,3900,4.232,0.17
F8IV,5.426442E-05,0.456,6163,4.12,-0.29
G0,-0.000110942,0.678,4966,2,-2.72
G5Vp,-1.822848E-05,0.704,5320,4.49,-0.76
F5V,0.0002635322,0.429,6180,4.11,-0.41
G5IIIwe,7.199329E-05,0.711,4984,2.36,-1.97
F5V,-7.659162E-05,0.45,6000,4.03,-1.29
Fw,-0.0001821291,0.647,4949,1.32,-2.32
K5III,0.0002821006,1.538,3922,1.21,-0.17
F8IV,0.0001078858,0.456,6163,4.12,-0.29
G8II-III,4.177829E-05,0.895,5063,2.65,0.25
F8IV,0.0002357598,0.456,6163,4.12,-0.29
G2V,0.0002065339,0.539,5373,4.37,-1.08
G2V,0.0001477998,0.539,5373,4.37,-1.08
G5IIIwe,-7.491416E-05,0.711,4984,2.36,-1.97
F8IV,0.0001873743,0.456,6163,4.12,-0.29
G2V,8.577849E-05,0.539,5373,4.37,-1.08
Fw,7.760416E-05,0.647,4949,1.32,-2.32
G2V,5.578712E-06,0.539,5373,4.37,-1.08
K5III,-1.741162E-05,1.538,3922,1.21,-0.17
G2V,5.894785E-05,0.539,5373,4.37,-1.08
G2V,0.000163695,0.539,5373,4.37,-1.08
F8IV,-4.604452E-06,0.456,6163,4.12,-0.29
F5V,0.0001508219,0.429,6180,4.11,-0.41
F5V,0.0001518475,0.429,6180,4.11,-0.41
G2V,8.931496E-05,0.539,5373,4.37,-1.08
G8II-III,0.0001870144,0.895,5063,2.65,0.25
G2V,0.0002573865,0.539,5373,4.37,-1.08
K3V,-0.0001075667,1.038,4528,4.251,0.07
F4V,0.0007640862,0.439,5952,4.22,-1.45
G6V,0.0001607931,0.603,5474,4.16,-0.67
G8II-III,4.361125E-05,0.895,5063,2.65,0.25
F9V,7.834185E-05,0.518,6038,4.37,-0.08
G0V,0.0003556923,0.526,5704,4.36,-0.74
G5,9.405869E-05,0.717,5426,4.5,-0.04
G1V,0.0003678583,0.6,5630,4.5,-0.45
K3III,-0.0001578177,1.299,4395,2.11,-0.01
F4V,-0.0002629165,0.439,5952,4.22,-1.45
G0V,0.0004125774,0.547,5704,4.05,-0.64
G0V,0.0001095576,0.557,5762,4.34,-0.42
G8V,0.0003517499,0.692,5285,4.62,-0.71
K1V,0.00012092,0.819,5169,4.43,-0.17
G8V,2.838524E-05,0.692,5285,4.62,-0.71
F8V,0.0003352477,0.661,5152,2.4,-1.42
K5V,0.0001650918,0.983,4576,4.414,-0.39
G7V,-0.0001329822,0.656,5377,4.5,-0.35
G1V,6.586204E-05,0.6,5630,4.5,-0.45
G8V,-3.684801E-05,0.692,5285,4.62,-0.71
G5,6.772729E-06,0.717,5426,4.5,-0.04
B5,0.000217964,0.326,6162,4.05,-2.26
G2V,-9.539136E-05,0.539,5373,4.37,-1.08
G0V,0.0001850901,0.557,5762,4.34,-0.42
F0p,-0.0004134085,0.27,8388,4.12,0.78
G8V,0.000136036,0.692,5285,4.62,-0.71
G5III,0.0006562297,0.709,5073,2.51,-1.44
G5Vp,2.036698E-05,0.704,5320,4.49,-0.76
G5Vp,-4.240326E-05,0.704,5320,4.49,-0.76
G5,3.109888E-06,0.717,5426,4.5,-0.04
F9V,-1.6252E-05,0.568,5748,4.17,-0.42
F9V,0.0005640058,0.486,5790,3.7,-0.65
M1V,0.0008417233,1.474,3705,4.8,0.6
M1V,-8.563769E-05,1.474,3705,4.8,0.6
K0V,3.486948E-05,0.786,5221,4.5,-0.24
G8IV,-0.0001811492,0.722,5501,4.28,0.31
K0,6.90406E-05,0.773,5261,4.55,-0.03
G5Vp,0.0001525538,0.704,5320,4.49,-0.76
G5,4.506541E-05,0.717,5426,4.5,-0.04
G8V,3.755579E-05,0.692,5285,4.62,-0.71
G8IV,0.0001008331,0.722,5501,4.28,0.31
G5,-6.945591E-05,0.645,5476,4.357,-0.32
K3III,-2.184585E-05,1.381,4066,1.43,-0.27
M1V,-0.0006485092,1.474,3705,4.8,0.6
M1V,0.0004640367,1.474,3705,4.8,0.6
F9V,0.0005756855,0.486,5790,3.7,-0.65
G0V,-4.481466E-05,0.557,5762,4.34,-0.42
F9V,0.0001084758,0.486,5790,3.7,-0.65
G0,-6.36606E-05,0.678,4966,2,-2.72
F7Vm,0.0003248139,0.378,6061,3.58,-1.07
B9III,0.0001592373,-0.021,9640,3.804,-0.06
G2V,0.0001166563,0.539,5373,4.37,-1.08
F8V-VI,-8.402739E-05,0.45,5966,4.21,-0.72
G0V,3.190295E-05,0.572,5661,4.27,-0.37
F8III,-0.0002074248,0.479,6216,3.693,-0.27
F8,0.0005562868,0.53,5873,4.37,-0.45
K5IV,0.0002748474,1.063,4353,4.522,-0.47
K0V,5.973789E-05,0.819,5139,4.79,-0.07
B6Vnn,0.0004843037,-0.119,13582,3.952,-0.08
F9V,-0.000180519,0.518,6038,4.37,-0.08
A0,-0.0001277358,0.116,7652,4.287,0.06
B9,0.0001798154,0.029,8554,4.325,0.1
F9V,-0.0001135735,0.518,6038,4.37,-0.08
G0V...,-5.868534E-05,0.53,5860,4.4,-0.26
0,0.0009124271,0.536,5665,4.28,-0.99
M2V,4.243958E-05,1.502,3717,4.89,-0.2
K7V,-2.096838E-05,1.354,3962,4.5,-0.36
G0V,-0.000110441,0.564,5651,4.42,-0.32
G1V,-1.512442E-05,0.6,5630,4.5,-0.45
G1V,0.0001459461,0.6,5630,4.5,-0.45
A0,-0.0001349808,0.116,7652,4.287,0.06
M1V,5.039072E-05,1.474,3705,4.8,0.6
G0Vm,-0.0002727147,0.501,5845,3.81,-0.88
M1V,-0.001061727,1.474,3705,4.8,0.6
M1V,-0.0005990689,1.474,3705,4.8,0.6
Fw,1.155058E-05,0.647,4949,1.32,-2.32
K1V,-5.047711E-05,0.811,5059,4.45,-0.16
K7V,-0.000523981,1.363,3900,4.232,0.17
Fw,-9.431608E-05,0.647,4949,1.32,-2.32
Fw,-4.502067E-05,0.647,4949,1.32,-2.32
Fw,-0.0001241911,0.647,4949,1.32,-2.32
M1V,0.0005040956,1.474,3705,4.8,0.6
0,7.927985E-05,0.44,6064,4.24,-0.33
F6IV:,3.886055E-05,0.427,6278,4.1,-0.28
M1V,0.0002915072,1.474,3705,4.8,0.6
M1V,-5.936869E-05,1.474,3705,4.8,0.6
Fw,-0.0001028354,0.647,4949,1.32,-2.32
F2,1.99002E-05,0.373,6590,4.251,-0.35
M1V,0.0004072183,1.474,3705,4.8,0.6
M1V,-0.000167639,1.474,3705,4.8,0.6
A0,-3.247327E-05,0.116,7652,4.287,0.06
M1V,-0.0001517458,1.474,3705,4.8,0.6
G5Vp,-0.0003327489,0.704,5320,4.49,-0.76
K3V,-4.34422E-05,1.038,4528,4.251,0.07
G5III,-0.0009608933,0.709,5073,2.51,-1.44
G8Vp,-9.998308E-05,0.754,5047,4.59,-1.34
M1V,0.0006159035,1.474,3705,4.8,0.6
O9.5Ib...,-0.0005073277,-0.199,9899,2.924,0.09
A0,-2.079701E-05,0.116,7652,4.287,0.06
M1V,-0.000251392,1.474,3705,4.8,0.6
M2V,0.0007573591,1.502,3717,4.89,-0.2
K0II-IIIva,-0.0003300258,1.173,4662,2.05,-0.09
M1V,-0.0007258796,1.474,3705,4.8,0.6
M1V,-0.0007151233,1.474,3705,4.8,0.6
M1V,-9.878702E-06,1.474,3705,4.8,0.6
F8V,-1.688981E-05,0.473,6188,4.251,-0.03
F0,0.0002096673,0.382,6604,3.999,-0.2
G1V,0.0003388054,0.712,5613,4.11,-0.94
A1V,0.000247121,0.107,7852,3.18,-1.67
B9V,0.0002254306,0.05,8320,3.972,0
A0,0.0002070511,0.038,9977,3.738,0.12
B9V,0.000166215,0.05,8320,3.972,0
A2,0.00022967,0.105,7354,3.769,-0.08
A0,0.000224808,0.116,7652,4.287,0.06
A2,0.000207405,0.207,7518,4.242,-0.3
A2,0.0001086893,0.298,7118,4.045,-0.15
A2,0.0001149807,0.105,7354,3.769,-0.08
A2,0.0004165049,0.105,7354,3.769,-0.08
K0V,5.129886E-05,0.786,5221,4.5,-0.24
A0,0.0001658446,0.116,7652,4.287,0.06
A0,0.0002071394,0.116,7652,4.287,0.06
B8,0.0002498346,-0.004,9558,3.448,-0.2
A0,0.0002560641,0.116,7652,4.287,0.06
A2,0.0001998431,0.207,7518,4.242,-0.3
A0,0.0002133407,0.116,7652,4.287,0.06
A2,0.0002315816,0.207,7518,4.242,-0.3
G8V,7.453885E-05,0.66,5761,4.5,0.17
A2,0.000136708,0.298,7118,4.045,-0.15
F6IVwvar,0.0002257851,0.382,6275,4.03,-0.57
G0V,0.0002292765,0.564,5651,4.42,-0.32
F0,6.372426E-05,0.382,6604,3.999,-0.2
F0,-1.081181E-06,0.287,7134,3.863,-0.07
A2,0.0001831498,0.105,7354,3.769,-0.08
F0,0.00021445,0.382,6604,3.999,-0.2
B9V,0.000245764,0.05,8320,3.972,0
A1V,0.0001854979,0.107,7852,3.18,-1.67
A2,0.0001542373,0.105,7354,3.769,-0.08
F8V,0.0001501461,0.499,6155,4.5,-0.15
F6IV:,8.693254E-05,0.427,6278,4.1,-0.28
A0,0.000249237,0.116,7652,4.287,0.06
A1V,0.0001646799,0.107,7852,3.18,-1.67
F8V,0.0001124809,0.499,6155,4.5,-0.15
B9V,0.0002523138,0.05,8320,3.972,0
A2,0.0001905048,0.298,7118,4.045,-0.15
A2,0.0002411922,0.207,7518,4.242,-0.3
A2,3.989776E-05,0.298,7118,4.045,-0.15
A1V,0.0001551232,0.107,7852,3.18,-1.67
F8IV,0.0001187809,0.456,6163,4.12,-0.29
A2,0.0002343842,0.105,7354,3.769,-0.08
A2,0.0001553879,0.105,7354,3.769,-0.08
A2,0.000187253,0.105,7354,3.769,-0.08
A0,0.0001693433,0.116,7652,4.287,0.06
A2,0.0001899392,0.105,7354,3.769,-0.08
F8IV,2.155267E-05,0.456,6163,4.12,-0.29
G0,0.0001020554,0.645,5467,4.68,-0.4
A1V,0.000251916,0.107,7852,3.18,-1.67
A1V,0.0001765038,0.107,7852,3.18,-1.67
K0IV,0.0001511302,0.841,5074,3.49,-0.1
A1V,0.000184656,0.107,7852,3.18,-1.67
A1V,0.0001541026,0.107,7852,3.18,-1.67
F8V,0.0001654671,0.499,6155,4.5,-0.15
F6IVwvar,0.000248549,0.382,6275,4.03,-0.57
F8V,0.0001982028,0.499,6155,4.5,-0.15
A2,0.000153377,0.105,7354,3.769,-0.08
A2,0.0001614082,0.105,7354,3.769,-0.08
B9V,6.809406E-05,0.05,8320,3.972,0
A2,0.0001914188,0.105,7354,3.769,-0.08
A2,0.0001588139,0.105,7354,3.769,-0.08
A1V,0.0002487723,0.107,7852,3.18,-1.67
A2,4.413321E-06,0.105,7354,3.769,-0.08
F8V,-7.15977E-06,0.547,5807,3.63,-0.11
F8V,-0.0001178778,0.532,5883,4.26,-0.08
G0,-0.000225129,0.674,5480,4.387,0.03
F0,-0.0004748055,0.287,7134,3.863,-0.07
G1V,-0.0001491002,0.712,5613,4.11,-0.94
K3III,-3.800656E-06,1.299,4395,2.11,-0.01
G0,0.0003747121,0.674,5480,4.387,0.03
K3V,-0.0001451351,1.038,4528,4.251,0.07
G5Vp,-0.0001070332,0.704,5320,4.49,-0.76
F9V,-0.0003838144,0.568,5748,4.17,-0.42
F7V,-9.860382E-05,0.465,5935,4.24,-0.54
A0,-0.0002759885,0.116,7652,4.287,0.06
K3V,-8.465727E-05,1.038,4528,4.251,0.07
K1V,-0.0001067304,0.819,5169,4.43,-0.17
G0V,-0.0004068538,0.547,5704,4.05,-0.64
0,9.435309E-05,1.633,3714,1.49,-0.57
M1V,0.0003764343,1.474,3705,4.8,0.6
G1.5Vb,9.167309E-05,0.573,5813,4.4,-0.07
F9V,0.0001650221,0.529,5784,4.14,-0.55
F9V,-0.0002275979,0.568,5748,4.17,-0.42
G1V,0.0001393894,0.712,5613,4.11,-0.94
B9III,-0.0002944293,-0.021,9640,3.804,-0.06
G0,-0.0003417514,0.564,5720,4.4,-0.54
K3V,-0.0002195133,0.95,4775,4.409,-0.12
0,-9.794003E-05,1.633,3714,1.49,-0.57
G8III,0.001577579,0.895,4938,2.52,-0.19
G1V,-1.857414E-05,0.712,5613,4.11,-0.94
G5,-3.325894E-05,0.645,5476,4.357,-0.32
B9III,-0.0006840747,-0.021,9640,3.804,-0.06
G8V,-0.0002225947,0.652,5455,4.34,-0.55
A9Vn,-0.000238216,0.272,7235,4.09,-0.36
G0V,0.0002108225,0.572,5661,4.27,-0.37
K7V,0.0001535583,1.363,3900,4.232,0.17
K7V,-0.000223243,1.363,3900,4.232,0.17
M1V,0.0004351471,1.474,3705,4.8,0.6
M1V,-9.677865E-05,1.474,3705,4.8,0.6
G0V,2.188644E-05,0.536,5621,4.03,-1.02
M1V,0.0008781143,1.474,3705,4.8,0.6
O9.5Ib...,0.0002665436,-0.199,9899,2.924,0.09
M1V,0.0001481641,1.474,3705,4.8,0.6
Fw,5.926781E-05,0.647,4949,1.32,-2.32
K3III,0.0001759477,1.299,4395,2.11,-0.01
Fw,1.561138E-05,0.647,4949,1.32,-2.32
O9.5Ib...,0.0002130346,-0.199,9899,2.924,0.09
M1V,8.432259E-05,1.474,3705,4.8,0.6
M1V,0.0004083169,1.474,3705,4.8,0.6
M1V,0.000332241,1.474,3705,4.8,0.6
F4V,-0.0006408241,0.439,5952,4.22,-1.45
G0V,-0.0007691709,0.536,5621,4.03,-1.02
G0V,-3.083177E-05,0.564,5651,4.42,-0.32
G2V,0.0004274449,0.581,5506,3.8,-0.5
G5Vp,-0.0001476922,0.704,5320,4.49,-0.76
G2V,-3.100801E-05,0.539,5373,4.37,-1.08
G5,8.979277E-05,0.717,5426,4.5,-0.04
G0,0.0002773329,0.638,5257,3.15,-1.48
G0V,-3.550538E-05,0.564,5651,4.42,-0.32
G5,-0.0002371839,0.816,4845,3.427,-0.44
G2V,-0.000275133,0.581,5506,3.8,-0.5
G1V,-6.829845E-05,0.712,5613,4.11,-0.94
G6V,0.0002283115,0.603,5474,4.16,-0.67
K2V,-5.214577E-05,0.871,4955,4.47,-0.23
G8V,0.0002848114,0.692,5285,4.62,-0.71
F8V,0.0001627259,0.499,6155,4.5,-0.15
G3V,0.0001713405,0.613,5324,4.47,-0.75
F8V,0.0004797303,0.661,5152,2.4,-1.42
F9V,0.0003637109,0.568,5748,4.17,-0.42
K0V,-5.834536E-05,0.786,5221,4.5,-0.24
K1V,0.000157972,0.811,5059,4.45,-0.16
K0V,5.67499E-05,0.786,5221,4.5,-0.24
K1V,0.0003209724,0.811,5059,4.45,-0.16
K5V,-1.363554E-05,0.983,4576,4.414,-0.39
G1V,0.0001159393,0.561,5659,4.42,-0.6
G5Vp,-0.0001817974,0.704,5320,4.49,-0.76
G5Vp,8.476134E-05,0.704,5320,4.49,-0.76
F0,2.21728E-05,0.359,6767,4.083,-0.21
G8V,0.0003799558,0.652,5455,4.34,-0.55
G3V,0.0001268929,0.613,5324,4.47,-0.75
K0V,-8.687064E-05,0.786,5221,4.5,-0.24
K1V,4.578181E-05,0.811,5059,4.45,-0.16
G1V,0.0001926484,0.712,5613,4.11,-0.94
M1V,-6.43813E-05,1.474,3705,4.8,0.6
M1V,0.0003054854,1.474,3705,4.8,0.6
G0,-0.0002990681,0.564,5720,4.4,-0.54
A2,-3.72645E-05,0.298,7118,4.045,-0.15
M3V,0.0001199753,1.435,3690,4.535,0.05
M1V,-0.0009462126,1.474,3705,4.8,0.6
M1V,0.0001163429,1.474,3705,4.8,0.6
G0V,-0.0002643205,0.526,5704,4.36,-0.74
O9.5Ib...,-0.0001134465,-0.199,9899,2.924,0.09
0,0.0005819093,1.633,3714,1.49,-0.57
M1V,-0.0003704787,1.474,3705,4.8,0.6
M1V,-0.0003301285,1.474,3705,4.8,0.6
G1V,-0.0005449597,0.561,5659,4.42,-0.6
M1V,-9.949577E-05,1.474,3705,4.8,0.6
M1V,-0.000594659,1.474,3705,4.8,0.6
M1V,-3.715614E-05,1.474,3705,4.8,0.6
A0,-8.399408E-05,0.116,7652,4.287,0.06
K0V,-0.0001773199,0.819,5139,4.79,-0.07
M1V,-0.0005874506,1.474,3705,4.8,0.6
M1V,-2.442558E-05,1.474,3705,4.8,0.6
M1V,0.0001486286,1.474,3705,4.8,0.6
G0V,0.0001679234,0.547,5704,4.05,-0.64
K0V,-8.108557E-05,0.786,5221,4.5,-0.24
K0,-0.0002187094,0.773,5261,4.55,-0.03
K0V,1.00647E-05,0.786,5221,4.5,-0.24
G5,3.211685E-05,0.645,5476,4.357,-0.32
G3V,-8.276993E-05,0.613,5324,4.47,-0.75
M1V,-0.0003965632,1.474,3705,4.8,0.6
0,-0.0003647944,0.536,5665,4.28,-0.99
G9V,-0.0001913517,0.764,5132,4.34,-0.61
K1V,-0.0002157362,0.811,5059,4.45,-0.16
G5Vp,-0.0002644121,0.704,5320,4.49,-0.76
O9.5Ib...,-0.0001865115,-0.199,9899,2.924,0.09
M1V,0.0003821611,1.474,3705,4.8,0.6
M1V,0.0002651162,1.474,3705,4.8,0.6
K0,4.416596E-05,0.773,5261,4.55,-0.03
K1V,-2.954187E-05,0.819,5169,4.43,-0.17
K0V,-0.0001230667,0.786,5221,4.5,-0.24
G5,0.0001618695,0.759,5262,4.5,-0.03
G5,-0.000326314,0.645,5476,4.357,-0.32
K0V,-2.345584E-05,0.767,5232,4.6,0.36
G8V,-0.0001635928,0.692,5285,4.62,-0.71
G7V,-4.818048E-05,0.656,5377,4.5,-0.35
G0,0.0002370081,0.645,5467,4.68,-0.4
K0V,-0.0002218515,0.786,5221,4.5,-0.24
G5V,-0.0001154711,0.678,5466,3.85,-0.06
G8V,-0.0002417654,0.692,5285,4.62,-0.71
G0Vwe,-0.0008993365,0.427,5734,3.74,-1.56
K3V,-0.0001782896,0.95,4775,4.409,-0.12
G5,-0.0001349804,0.717,5426,4.5,-0.04
G8V,-0.0002621797,0.692,5285,4.62,-0.71
G5,-6.024518E-05,0.645,5476,4.357,-0.32
G7V,-9.993133E-06,0.656,5377,4.5,-0.35
G5Vp,-0.0008375106,0.704,5320,4.49,-0.76
G5,-0.0002435871,0.759,5262,4.5,-0.03
K3III,7.901231E-05,1.381,4066,1.43,-0.27
F8V-VI,-0.0007775745,0.446,5895,4.41,-1.05
K3Vvar,-0.0001782878,1,4727,4.5,0.05
G1V,-0.0003007284,0.561,5659,4.42,-0.6
F0,-0.0004534037,0.287,7134,3.863,-0.07
K5V,-0.0003694268,0.983,4576,4.414,-0.39
K1V,-0.0002764248,0.811,5059,4.45,-0.16
G8V,-0.0004261656,0.692,5285,4.62,-0.71
F8V-VI,-0.0002956991,0.45,5966,4.21,-0.72
K2V,-0.0002575725,0.871,4955,4.47,-0.23
G8V,-0.000179472,0.692,5285,4.62,-0.71
M1V,-4.515989E-05,1.474,3705,4.8,0.6
G0V,-0.0001218594,0.545,5913,4.4,-0.01
G5Vp,-0.0001333884,0.704,5320,4.49,-0.76
G7V,-8.249421E-05,0.656,5377,4.5,-0.35
G5,-7.510713E-05,0.717,5426,4.5,-0.04
G3IV,-0.0005107624,0.828,5126,3.5,-0.59
G0V,-2.82164E-05,0.564,5651,4.42,-0.32
K0,-0.0002017617,0.773,5261,4.55,-0.03
K1V,-0.001130299,0.811,5059,4.45,-0.16
G1V,3.763078E-06,0.6,5630,4.5,-0.45
K0V,-0.0004055209,0.786,5221,4.5,-0.24
G5,-7.905007E-05,0.732,5281,4.374,-0.12
K0V,0.0001537371,0.786,5221,4.5,-0.24
G8Vp,-0.0007001193,0.754,5047,4.59,-1.34
G5Vp,-0.0001464588,0.704,5320,4.49,-0.76
F7Vwe,-0.0001409463,0.429,5769,3.88,-1.61
F9V,-0.0001696158,0.568,5748,4.17,-0.42
K1V,-0.0002153423,0.811,5059,4.45,-0.16
sdF8,7.04448E-05,0.394,5949,3.93,-1.7
G8V,-0.000219205,0.652,5455,4.34,-0.55
F8,-0.0004453815,0.53,5873,4.37,-0.45
A5,-0.0004558846,0.359,5880,4,-2.35
F8V-VI,-4.028263E-06,0.45,5966,4.21,-0.72
G6V,-0.0004520899,0.603,5474,4.16,-0.67
G5Vp,-0.0001752144,0.704,5320,4.49,-0.76
K5V,-0.0003986972,0.983,4576,4.414,-0.39
G3V,-0.0004007961,0.613,5324,4.47,-0.75
G5III,-1.412896E-05,0.709,5073,2.51,-1.44
G8V,1.970294E-05,0.692,5285,4.62,-0.71
K1V,-0.0003964257,0.811,5059,4.45,-0.16
K0V,-0.0002930164,0.786,5221,4.5,-0.24
G0V,-0.0003813903,0.536,5621,4.03,-1.02
G8V,-0.0001761484,0.692,5285,4.62,-0.71
G0V,-8.408358E-05,0.572,5661,4.27,-0.37
O9.5Vvar,-9.970025E-06,0.18,6537,2.497,-2.09
G5,-0.0002554991,0.645,5476,4.357,-0.32
G0,-0.000111733,0.757,5261,4.394,-0.13
G8IV-V,-0.0001138277,0.701,5563,4.23,-0.02
G5,-7.754319E-05,0.732,5281,4.374,-0.12
K1V,1.907834E-06,0.819,5169,4.43,-0.17
G5III,-0.00117887,0.709,5073,2.51,-1.44
K0V,-7.211359E-05,0.786,5221,4.5,-0.24
G8IV,-9.831091E-05,0.722,5501,4.28,0.31
G8IV-V,-0.0001561797,0.701,5563,4.23,-0.02
G5,-0.0001270324,0.717,5426,4.5,-0.04
G1V,-0.0002235128,0.6,5630,4.5,-0.45
K5V,1.417349E-05,0.983,4576,4.414,-0.39
K0V,-8.583947E-05,0.767,5232,4.6,0.36
F8V,-0.000103565,0.661,5152,2.4,-1.42
G5Vp,-0.0002733613,0.704,5320,4.49,-0.76
G0V,-0.000424757,0.572,5661,4.27,-0.37
0,-0.0001248914,0.44,6064,4.24,-0.33
M1V,0.0002967248,1.474,3705,4.8,0.6
G2V,2.119308E-06,0.507,5891,4.082,-0.12
K1V,-6.302725E-06,0.811,5059,4.45,-0.16
G0V,0.003779149,0.564,5651,4.42,-0.32
G0,0.0002036637,0.638,5257,3.15,-1.48
G8V,-0.0001705158,0.749,5239,4.5,-0.21
G8V,8.415556E-05,0.692,5285,4.62,-0.71
K0V,4.697629E-06,0.786,5221,4.5,-0.24
G7V,0.0001080679,0.656,5377,4.5,-0.35
G8IV-V,-0.0001797537,0.701,5563,4.23,-0.02
K1V,-7.709221E-05,0.811,5059,4.45,-0.16
G5,-0.0002747303,0.717,5426,4.5,-0.04
G5,-0.0002343447,0.953,4576,1.4,-1.71
0,-0.0001650991,0,4752,4.641,-0.91
A4p,-0.0003398832,0.43,5937,4.37,-2.03
G8Vp,-0.0002582425,0.754,5047,4.59,-1.34
G6V,-0.0001529926,0.603,5474,4.16,-0.67
O9.5Ib...,-0.0001521394,-0.199,9899,2.924,0.09
M2V,0.0002089797,1.502,3717,4.89,-0.2
O9.5Ib...,-5.214853E-05,-0.199,9899,2.924,0.09
M1V,-0.0001550335,1.474,3705,4.8,0.6
G0Vm,-4.488566E-05,0.501,5845,3.81,-0.88
G2V,-0.000129395,0.65,5777,4.44,0
G8Vp,-0.0003424332,0.754,5047,4.59,-1.34
G8V,-5.252577E-05,0.652,5455,4.34,-0.55
M3V,-0.0001856438,1.435,3690,4.535,0.05
G5Vp,5.316481E-06,0.704,5320,4.49,-0.76
G8V,-5.958334E-05,0.851,5211,4.38,0.36
K1V,-0.0001814901,0.819,5169,4.43,-0.17
G6V,7.916991E-05,0.603,5474,4.16,-0.67
A0,-8.90823E-05,0.116,7652,4.287,0.06
G5Vp,-1.473637E-06,0.704,5320,4.49,-0.76
K0V,1.990301E-05,0.819,5139,4.79,-0.07
K0V,-5.287473E-05,0.786,5221,4.5,-0.24
G8V,-0.0001289125,0.692,5285,4.62,-0.71
M1V,0.0004695465,1.474,3705,4.8,0.6
G0V,0.0003756671,0.564,5651,4.42,-0.32
G5,0.0006783959,0.953,4576,1.4,-1.71
G5,0.0008651204,0.645,5476,4.357,-0.32
K3V,0.000106574,1.038,4528,4.251,0.07
G5,-0.000202787,0.87,5203,2.29,-1.22
K1V,8.585466E-05,0.811,5059,4.45,-0.16
G5,-3.657776E-05,0.953,4576,1.4,-1.71
G5,0.0001111235,0.58,5625,4.2,-0.21
G1V,-0.0004349859,0.6,5630,4.5,-0.45
F8V,-0.0003522706,0.661,5152,2.4,-1.42
F8V,-0.0003098278,0.661,5152,2.4,-1.42
G1V,-0.0002966057,0.712,5613,4.11,-0.94
F0p,-0.000314928,0.27,8388,4.12,0.78
A2,-1.056681E-05,0.276,6966,3.972,0.21
B9III,-5.903588E-05,-0.021,9640,3.804,-0.06
